Date,Visitor,Home,BF V Odds,BF H Odds
2021-05-16,Boston Celtics,New York Knicks,3.9,1.22
2021-05-16,Indiana Pacers,Toronto Raptors,1.31,2.92
2021-05-16,Charlotte Hornets,Washington Wizards,2.66,1.3
2021-05-16,Phoenix Suns,San Antonio Spurs,1.11,4.7
2021-05-16,Memphis Grizzlies,Golden State Warriors,2.34,1.4
2021-05-16,Houston Rockets,Atlanta Hawks,4.7,1.11
2021-05-16,Cleveland Cavaliers,Brooklyn Nets,5,1.08
2021-05-16,Orlando Magic,Philadelphia 76ers,3.8,1.17
2021-05-16,Miami Heat,Detroit Pistons,1.35,2.7
2021-05-16,Milwaukee Bucks,Chicago Bulls,1.5,1.7
2021-05-16,Dallas Mavericks,Minnesota Timberwolves,1.18,3.8
2021-05-16,Los Angeles Lakers,New Orleans Pelicans,1.13,5.3
2021-05-16,Los Angeles Clippers,Oklahoma City Thunder,1.18,3.8
2021-05-16,Denver Nuggets,Portland Trail Blazers,4.1,1.17
2021-05-16,Utah Jazz,Sacramento Kings,1.1,4.4
